"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.006832833,16.23342601,11.05639717,-3.955494039,20.0353181
2.016892125,15.56482731,10.44221733,-4.086098033,19.18332476
2.026951125,14.36981664,9.354900096,-3.86876112,17.57763063
2.037011125,12.92950358,7.614948812,-3.343501937,15.37330522
2.047070125,11.50222163,5.494865361,-2.655160109,13.02092635
2.057129125,10.0942659,3.429415369,-1.844808818,10.81935365
2.067188125,8.817425787,1.61366429,-1.126628063,9.034389894
2.077247125,7.820540423,0.03191761136,-0.5447751421,7.839556824
2.087306125,6.940577152,-1.407612503,-0.229644717,7.085599541
2.097366125,6.009551316,-2.708783462,-0.05091989279,6.592026069
2.107425125,4.80383703,-3.853125665,-0.04446281254,6.15836054
2.117484125,3.64500835,-4.861416609,-0.01535361886,6.076157754
2.127543125,2.460896602,-5.748994709,-0.05078072906,6.253761342
2.137602125,0.8696122375,-6.658369474,-0.1593290251,6.716806923
2.147662125,-1.448747081,-7.77943859,-0.2534078014,7.917243737
2.157721125,-4.359462381,-8.846437917,-0.2096793991,9.864499051
2.167780125,-7.479678741,-9.987630225,-0.1545021486,12.47887104
2.177839125,-10.72102193,-11.06785537,0.005002877712,15.4090155
2.187898125,-13.60105981,-11.87167795,0.2679872489,18.0553976
2.197958125,-15.44220184,-12.33516803,0.371384148,19.76754649
2.208017125,-15.99619395,-12.49874622,0.2996984535,20.30238156
2.218076125,-15.49490279,-12.51327889,0.1361699581,19.91714597
2.228135125,-14.32009309,-12.42594137,-0.03223511517,18.95969736
2.238194125,-12.65246601,-12.21152397,-0.2042373955,17.58544645
2.248254125,-10.59651833,-11.79841117,-0.4806820571,15.86567875
2.258313125,-8.398746436,-11.18546159,-0.7767435426,14.00916925
2.268372125,-6.600797789,-10.38012691,-0.9487402681,12.33765271
2.278431125,-5.184952991,-9.644252486,-1.096799077,11.00446781
2.288490125,-3.901994647,-8.929711039,-1.176943354,9.815828907
2.298550125,-2.582204692,-8.195012485,-1.126519013,8.665740349
2.308609125,-1.085755076,-7.267938783,-1.10417534,7.431083462
2.318668125,0.517014097,-6.109151618,-1.094405812,6.227901826
2.328727125,2.249099487,-4.799411564,-1.003232517,5.394374417
2.338786125,3.979930138,-3.135498058,-0.8880201495,5.143906274
2.348846125,5.527215081,-1.168588268,-0.8500939393,5.712999633
2.358905125,7.268262134,0.7513262808,-0.8342748821,7.354463964
2.368964125,8.959218428,2.760487466,-0.6908573002,9.40027498
2.379023125,10.46676979,4.766243818,-0.6930891824,11.52174998
2.389082125,12.05505482,6.609632932,-0.5913131315,13.76085918
2.399142125,13.56905215,8.250137111,-0.506182934,15.88836555
2.409201125,14.8291014,9.744798868,-0.8127296466,17.76299194
2.419260125,15.59259456,10.7379695,-1.252095863,18.97368541
2.429319125,15.74620794,11.30856068,-1.507985807,19.44480985
2.439378125,15.15944101,11.2865693,-1.78729502,18.98393326
2.449437125,14.09313926,10.51264704,-2.06063364,17.70250076
2.459497125,13.00696165,9.334231943,-2.13737016,16.15169615
2.469556125,11.75920442,7.822400422,-1.917209626,14.25287795
2.479615125,10.45520166,6.132869094,-1.495396752,12.21308873
2.489674125,9.204904397,4.417322919,-1.09636346,10.26864254
2.499733125,7.981404342,2.827648001,-0.701897428,8.496532733
2.509793125,6.861382463,1.279569005,-0.235900653,6.983660592
2.519852125,5.757519364,-0.2032036078,0.1617450947,5.763374221
2.529911125,4.686749167,-1.511356727,0.4382833117,4.943875926
2.539970125,3.748010854,-2.685102239,0.6402566653,4.654813422
2.550029125,2.88000397,-3.668435512,0.7197752899,4.719101444
2.560089125,1.91517538,-4.635203623,0.65319363,5.057634949
2.570148125,0.7115163901,-5.51245437,0.4495783782,5.576336564
2.580207125,-0.9480096585,-6.448968987,0.08484953105,6.518828327
2.590266125,-3.196479839,-7.544522023,-0.1741049391,8.195584692
2.600325125,-5.936230155,-8.69466408,-0.0294132489,10.52790943
2.610384125,-8.893515605,-9.853863473,0.3552066565,13.27853218
2.620444125,-11.60229439,-10.83215645,0.8106380975,15.89358306
2.630503125,-13.60276486,-11.48253523,1.113995739,17.83605375
2.640562125,-14.41403679,-11.88957628,1.08101218,18.7161713
2.650621125,-14.21518234,-11.94403257,0.706966964,18.58039627
2.660680125,-13.28187434,-11.76489376,0.1541998476,17.74386341
2.670740125,-11.90682557,-11.43963304,-0.3059883034,16.51457925
2.680799125,-10.19021754,-11.05667082,-0.6729426008,15.05135724
2.690858125,-8.319777449,-10.44751023,-1.035865243,13.39560314
2.700917125,-6.887427716,-9.795483702,-1.092106102,12.02417803
2.710976125,-5.865598714,-9.158608482,-1.071061388,10.92851912
2.721036125,-4.866820605,-8.493961911,-1.02663249,9.843134969
2.731095125,-3.772645758,-7.810489059,-0.9186928886,8.72241893
2.741154125,-2.375119117,-6.900156519,-0.779073658,7.33895814
2.751213125,-0.5965369608,-5.777620338,-0.7738596958,5.859659712
2.761272125,1.607268898,-4.370935203,-0.5434905088,4.688685294
2.771331125,4.085584939,-2.490279445,-0.3166302359,4.795179946
2.781391125,6.507395536,-0.2532850099,-0.3474678665,6.521585994
2.791450125,8.536554784,1.785481213,-0.1097148156,8.721969277
2.801509125,10.43857919,3.918138517,-0.025416677,11.14972605
2.811568125,12.23188281,5.825711932,-0.02426886857,13.54837502
2.821627125,13.78744098,7.468667849,-0.03026928127,15.68041595
2.831687125,15.19640243,8.882415251,-0.1556394321,17.60261831
2.841746125,16.09483297,9.830267619,-0.3782341611,18.86321475
2.851805125,16.31291072,10.18243021,-0.7522425395,19.24470863
2.861864125,15.71472536,9.987485214,-1.264278536,18.6628201
2.871923125,14.8252282,9.353824208,-1.714204239,17.61306091
2.881983125,13.82346217,8.41634597,-1.875428347,16.29233615
2.892042125,12.57257902,7.128306103,-1.733928652,14.55640751
2.902101125,11.28794924,5.582325674,-1.551423018,12.68806807
2.912160125,9.975886678,3.961992635,-1.34016604,10.81719676
2.922219125,8.787689188,2.402218038,-1.083794285,9.174352447
2.932278125,7.649689459,0.9326969701,-0.8371195525,7.751673471
2.942338125,6.317304309,-0.4221216077,-0.6137401271,6.361068882
2.952397125,4.98458119,-1.774842204,-0.2985412896,5.299551055
2.962456125,3.721729082,-3.058726455,-0.03052421987,4.817468901
2.972515125,2.393992322,-4.212432389,0.18521231,4.848720395
2.982574125,0.8642136495,-5.273718402,0.3035903603,5.352675791
2.992634125,-0.9136321235,-6.356632681,0.2587264287,6.427164388
3.002693125,-3.243255225,-7.44523864,0.08091435492,8.12138104
3.012752125,-5.884515041,-8.342252392,-0.09444832027,10.20929051
3.022810458,-8.455196625,-9.215207191,-0.2957170844,12.50990976
3.032869458,-10.87880319,-10.08877419,-0.5392805135,14.8466342
3.042928458,-12.82002967,-10.73346246,-0.6482006925,16.73261908
3.052988458,-14.02754753,-11.23896829,-0.6582935715,17.98665751
3.063047458,-14.44350325,-11.63314781,-0.7637638932,18.56147218
3.073106458,-13.97622184,-11.62334904,-0.8290696907,18.19682325
3.083165458,-12.80850364,-11.25274901,-0.8103001285,17.06864705
3.093224458,-11.15672135,-10.7926585,-0.6713129818,15.53719956
3.103284458,-9.048526461,-10.24977611,-0.6131162292,13.68611168
3.113343458,-6.83970508,-9.481648436,-0.5335069728,11.70332655
3.123402458,-5.031858852,-8.509654668,-0.5358329952,9.900552665
3.133461458,-3.58266212,-7.60390693,-0.6949076664,8.434320668
3.143520458,-2.349777139,-6.784416148,-0.7284730232,7.216677076
3.153579458,-1.142575759,-5.756735837,-0.5901431036,5.898623208
3.163639458,0.3945798332,-4.325642086,-0.5103818196,4.373484
3.173698458,2.403194377,-2.604700685,-0.2995475954,3.556618848
3.183757458,4.749935349,-0.6464436042,0.1791411459,4.797068553
3.193816458,7.279327989,1.405517446,0.6881319129,7.445644418
3.203875458,9.994989531,3.696687503,0.9170445585,10.69608737
3.213935458,12.21425345,5.984231703,0.6572059894,13.61730282
3.223994458,13.60048795,7.702601498,0.2670587111,15.63248741
3.234053458,14.62650707,8.874527941,-0.06918600976,17.10838221
3.244112458,15.16772652,9.691060617,-0.3181984591,18.00216192
3.254171458,15.36312409,9.980950366,-0.5472046602,18.3287857
3.264230458,15.22392996,9.978848877,-0.75480362,18.21853992
3.274290458,14.80748658,9.671861284,-0.9747402048,17.71317809
3.284349458,14.00820261,8.649846341,-1.318966375,16.51633295
3.294408458,12.75687156,7.391143709,-1.564810218,14.82617308
3.304467458,11.44879913,6.104130614,-1.607307197,13.07359356
3.314526458,10.15039917,4.625250492,-1.480040209,11.25229152
3.324586458,8.993006564,3.025763946,-1.178329144,9.561269481
3.334645458,7.794090543,1.520168481,-0.706139583,7.972289051
3.344704458,6.384295274,0.01951508224,-0.2258948976,6.38832024
3.354763458,4.956459591,-1.464208288,0.1227120066,5.169666897
3.364822458,3.57222601,-2.888626274,0.1802345753,4.597547707
3.374881458,1.972929206,-4.189047035,0.07464964807,4.630997439
3.384941458,0.2033983201,-5.472974555,-0.06034209609,5.477085222
3.395000458,-1.552725485,-6.703895895,-0.329469552,6.889247186
3.405059458,-3.770515618,-7.968059826,-0.859076432,8.856905653
3.415118458,-6.594572259,-9.431800337,-1.275837897,11.5790761
3.425177458,-9.783346052,-10.97459228,-1.29530971,14.75917894
3.435237458,-12.91376639,-12.34980595,-0.8669233954,17.8895116
3.445296458,-15.6002626,-13.51321007,-0.3152391833,20.64157008
3.455355458,-17.47916127,-14.57165083,0.03944648623,22.75644179
3.465414458,-18.07115794,-15.28217407,0.1408769667,23.66709615
3.475473458,-17.40965542,-15.36421402,-0.03547856569,23.21974231
3.485532458,-15.77240931,-15.05695687,-0.1601926589,21.80611169
3.495592458,-13.07683939,-14.55799875,-0.2958100551,19.57106434
3.505651458,-9.659572776,-13.62361837,-0.4974354994,16.70801501
3.515710458,-6.367152407,-12.19477287,-0.5519169313,13.76799649
3.525769458,-3.414542976,-10.35252104,-0.258690176,10.9041605
3.535828458,-0.7162591399,-8.155673588,0.1929510999,8.189338737
3.545887458,2.10952645,-5.725702325,0.6167713237,6.133039689
3.555947458,5.150545635,-2.877259287,0.971780929,5.979222317
3.566006458,8.27651507,0.2860329258,1.144251571,8.360133265
3.576065458,10.80606734,3.338781772,1.145971822,11.36801682
3.586124458,12.93400594,5.94938756,1.21035376,14.28806069
3.596183458,14.72165062,7.956706873,1.302317013,16.78488043
3.606243458,16.27949505,9.540677832,1.070877201,18.89955742
3.616302458,17.55765897,10.73441907,0.6253217071,20.58859317
3.626361458,18.0060644,11.35924668,0.01991883248,21.28969791
3.636420458,17.5574742,11.34711137,-0.6053046414,20.91382869
3.646479458,16.60044521,10.70681787,-1.341308001,19.7992383
