"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.5381885833,-0.3735990733,-2.33327118,0.3698352206,2.391758507
0.5482475833,-1.667259576,-3.494451025,0.5960827053,3.917429904
0.5583075833,-3.409945018,-4.769834594,0.8250731188,5.921131034
0.5683665834,-5.334009043,-6.144321451,1.087520131,8.208960872
0.5784255834,-7.294995019,-7.204287747,1.390621664,10.34661988
0.5884845834,-9.192476724,-8.454662774,1.08902345,12.53670304
0.5985435834,-10.69339851,-9.180645468,0.8305466974,14.11817377
0.6086035834,-11.59763533,-9.666636797,0.566157825,15.10859182
0.6186625834,-12.31498812,-10.27961796,0.1278639883,16.04200196
0.6287215833,-12.606549,-10.62357808,-0.3595616627,16.48983849
0.6387805833,-11.9211454,-10.60463427,-0.4877688825,15.96276586
0.6488395833,-10.87164503,-10.38233482,-0.3202613568,15.03622657
0.6588995833,-9.759478303,-10.16531541,-0.03529379368,14.09192321
0.6689585834,-8.340407596,-9.575296857,0.1076092333,12.6988302
0.6790175834,-6.488757536,-8.754446012,0.2737403244,10.90042353
0.6890765834,-4.320144534,-7.92244979,0.5656900477,9.041507878
0.6991365834,-1.537523163,-6.673512009,0.7317346001,6.887319909
0.7091955834,1.690934221,-4.681549823,0.726780839,5.030345682
0.7192545834,5.022329645,-2.716584232,0.8222366345,5.768855869
0.7293135833,7.555956838,-0.811477173,0.8030969435,7.641723866
0.7393725833,9.411962489,1.038807562,0.4371442741,9.479201135
0.7494325833,11.19966798,2.888178962,-0.5429443789,11.57881381
0.7594915833,13.3190907,4.613857192,-1.958389227,14.23099236
0.7695505833,14.40923974,6.141432341,-2.178154489,15.81416258
0.7796095834,14.40020228,6.742430216,-1.962223247,16.02112702
0.7896685834,14.65836621,6.722162012,-1.467099152,16.19282378
0.7997285834,14.89818742,6.414363411,-0.8900643361,16.24476103
0.8097875834,14.77485093,5.733035903,-0.2516746867,15.85015018
0.8198465834,14.32575436,4.982792526,0.7578745776,15.18650168
0.8299055833,13.69302599,4.209952,1.272624852,14.38201066
0.8399645833,12.93858548,3.436503949,0.7274368966,13.40692799
0.8500245833,12.01315367,2.734604766,-0.2109505838,12.32227352
0.8600835833,10.99376296,2.162236614,-0.897273953,11.24024874
0.8701425833,9.801839626,1.662677405,-1.340408115,10.03181191
0.8802015834,8.574205005,0.9270280945,-1.486423615,8.751332911
0.8902615834,7.307689324,0.1244381046,-1.224873565,7.410676309
0.9003205834,5.863501902,-0.6640840691,-0.7306546193,5.946050654
0.9103795834,4.313336036,-1.329663271,-0.2245237255,4.519212661
0.9204385834,2.819689063,-1.873181847,-0.2605326337,3.395192763
0.9304975834,1.550157973,-2.872068713,-0.6839874065,3.334607504
0.9405575834,-0.5975828084,-4.187330877,-1.112115859,4.373516522
0.9506165833,-3.56367855,-5.077294056,-0.9591988903,6.276844928
0.9606755833,-5.307431109,-5.337109237,-0.739551158,7.563100944
0.9707345833,-6.350862064,-5.702467244,-0.6056733084,8.556776367
0.9807935834,-7.83051051,-6.317674438,-0.8221231985,10.09483986
0.9908535834,-9.820008094,-7.615210183,-1.129875607,12.47800481
1.000912583,-12.55831883,-9.119660763,-1.138145909,15.56197161
1.010971583,-15.26829863,-10.69261615,-0.9050653678,18.66205044
1.021030833,-16.98739523,-12.59290043,-0.4574054611,21.15093279
1.031089833,-18.42972207,-14.50756418,0.6222337925,23.46297613
1.041149833,-18.71195898,-16.07859642,2.099556216,24.76018595
1.051208833,-17.41891039,-17.04244794,3.737937271,24.65432307
1.061267833,-15.23645937,-17.12619761,5.118409338,23.48732536
1.071326833,-12.62436664,-16.91084933,5.750633683,21.87284266
1.081386833,-9.19582484,-16.19622602,5.396195351,19.39071572
1.091445833,-5.665322807,-14.0553031,4.61293801,15.84066365
1.101504833,-3.091259778,-11.91444332,3.522687814,12.80309244
1.111563833,-0.1684174255,-9.765044852,2.944946655,10.20084194
1.121622833,3.676580098,-7.047112836,2.575525417,8.355379807
1.131682833,8.0264969,-3.879336394,1.918884269,9.118992279
1.141741833,12.26267659,-0.3205589801,1.298164905,12.3353649
1.151800833,15.932126,3.746896375,0.3593108171,16.37073535
1.161859833,18.75587742,7.476692567,-0.7393681401,20.20471566
1.171918833,20.58319312,10.12193609,-1.836394674,23.01073173
1.181978833,21.43357475,11.69403603,-2.863337651,24.58347631
1.192037833,21.4368679,12.44815144,-4.022737019,25.11330708
1.202096833,21.001531,12.42744294,-4.816274934,24.87372402
1.212155833,20.2111535,11.87146161,-5.283786138,24.02791548
1.222214833,18.93671543,10.78384207,-5.801606201,22.55103269
1.232274833,17.28904841,9.167113257,-6.111133824,20.50105161
1.242333833,15.5210609,7.296677848,-5.719292023,18.07913549
1.252392833,13.76180795,5.44481378,-5.057271436,15.639992
